question_name,question_link,level,type,topic_slug
Number of factors,https://www.geeksforgeeks.org/problems/number-of-factors1435/1,EASY,CLASSWORK,intro-to-datastructure-and-algorithms
Prime Number,https://www.geeksforgeeks.org/problems/prime-number2314/1,EASY,CLASSWORK,intro-to-datastructure-and-algorithms
Bulb Switcher,https://leetcode.com/problems/bulb-switcher/,EASY,HOMEWORK,intro-to-datastructure-and-algorithms
LOOP_CMPL,https://www.interviewbit.com/problems/loopcmpl/,EASY,CLASSWORK,big-o-introduction
NESTED_CMPL,https://www.interviewbit.com/problems/nestedcmpl/,EASY,CLASSWORK,big-o-introduction
NESTED_CMPL2,https://www.interviewbit.com/problems/nestedcmpl2/,EASY,CLASSWORK,big-o-introduction
CHOOSE4,https://www.interviewbit.com/problems/choose4/,EASY,CLASSWORK,big-o-introduction
WHILE_CMPL,https://www.interviewbit.com/problems/whilecmpl/,EASY,CLASSWORK,big-o-introduction
NESTED_CMPL3,https://www.interviewbit.com/problems/nestedcmpl3/,MEDIUM,CLASSWORK,big-o-introduction
LOOP_CMPL2,https://www.interviewbit.com/problems/loopcmpl2/,MEDIUM,CLASSWORK,big-o-introduction
CHOOSE3,https://www.interviewbit.com/problems/choose3/,MEDIUM,CLASSWORK,big-o-introduction
CHOOSE2,https://www.interviewbit.com/problems/choose2/,MEDIUM,CLASSWORK,big-o-introduction
CHOOSE1,https://www.interviewbit.com/problems/choose1/,MEDIUM,CLASSWORK,big-o-introduction
Two Sum,https://leetcode.com/problems/two-sum/,EASY,CLASSWORK,array-basics
Count Pairs Whose Sum is Less than Target,https://leetcode.com/problems/count-pairs-whose-sum-is-less-than-target/,EASY,CLASSWORK,array-basics
Largest Positive Integer That Exists With Its Negative,https://leetcode.com/problems/largest-positive-integer-that-exists-with-its-negative/,EASY,HOMEWORK,array-basics
Count Number of Pairs With Absolute Difference K,https://leetcode.com/problems/count-number-of-pairs-with-absolute-difference-k/,EASY,HOMEWORK,array-basics
Second largest,https://www.geeksforgeeks.org/problems/second-largest3735/1,EASY,HOMEWORK,array-basics
Check if Array Is Sorted and Rotated,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated/description/,EASY,HOMEWORK,array-basics
Rotate Array,https://leetcode.com/problems/rotate-array/description/,MEDIUM,CLASSWORK,array-basics
Rotating an Array,https://www.geeksforgeeks.org/problems/reversal-algorithm5340/1,MEDIUM,CLASSWORK,array-basics
